name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499432400000000000,i1709,4805,4810,136,4805,280,1428,1428,GMT+8
ticks,1499432400371000000,i1709,4810,4810,32,4805,387,770,2198,GMT+8
ticks,1499432400872000000,i1709,4810,4815,607,4810,442,986,3184,GMT+8
ticks,1499432401368000000,i1709,4810,4815,538,4810,479,368,3552,GMT+8
ticks,1499432401864000000,i1709,4815,4815,643,4810,381,230,3782,GMT+8
ticks,1499432402363000000,i1709,4810,4815,462,4810,222,694,4476,GMT+8
ticks,1499432402865000000,i1709,4815,4815,455,4810,170,110,4586,GMT+8
ticks,1499432403371000000,i1709,4815,4815,398,4810,146,374,4960,GMT+8
ticks,1499432403851000000,i1709,4815,4815,279,4810,151,256,5216,GMT+8
ticks,1499432404369000000,i1709,4815,4815,280,4810,156,98,5314,GMT+8
ticks,1499432404864000000,i1709,4810,4815,267,4810,41,538,5852,GMT+8
ticks,1499432405370000000,i1709,4805,4815,184,4805,683,400,6252,GMT+8
ticks,1499432405864000000,i1709,4810,4815,275,4810,25,308,6560,GMT+8
ticks,1499432406372000000,i1709,4810,4810,118,4805,381,754,7314,GMT+8
ticks,1499432406871000000,i1709,4810,4810,115,4805,437,96,7410,GMT+8
ticks,1499432407357000000,i1709,4810,4810,121,4805,422,70,7480,GMT+8
ticks,1499432407842000000,i1709,4810,4810,141,4805,440,52,7532,GMT+8
ticks,1499432408335000000,i1709,4810,4810,141,4805,436,22,7554,GMT+8
ticks,1499432408863000000,i1709,4810,4810,339,4805,322,38,7592,GMT+8
ticks,1499432409353000000,i1709,4805,4810,395,4805,299,68,7660,GMT+8
ticks,1499432409863000000,i1709,4805,4810,414,4805,101,390,8050,GMT+8
ticks,1499432410370000000,i1709,4805,4805,212,4800,908,342,8392,GMT+8
ticks,1499432410863000000,i1709,4805,4805,235,4800,919,128,8520,GMT+8
ticks,1499432411371000000,i1709,4805,4805,411,4800,937,24,8544,GMT+8
ticks,1499432411872000000,i1709,4800,4805,495,4800,558,760,9304,GMT+8
ticks,1499432412370000000,i1709,4805,4805,534,4800,478,262,9566,GMT+8
ticks,1499432412872000000,i1709,4800,4805,535,4800,153,476,10042,GMT+8
ticks,1499432413369000000,i1709,4800,4805,594,4800,122,78,10120,GMT+8
ticks,1499432413863000000,i1709,4800,4805,708,4800,86,86,10206,GMT+8
ticks,1499432414358000000,i1709,4805,4805,725,4800,88,18,10224,GMT+8
ticks,1499432414869000000,i1709,4805,4805,724,4800,83,30,10254,GMT+8
ticks,1499432415370000000,i1709,4800,4805,710,4800,28,160,10414,GMT+8
ticks,1499432415872000000,i1709,4800,4800,554,4795,1552,124,10538,GMT+8
ticks,1499432416359000000,i1709,4795,4800,650,4795,1531,114,10652,GMT+8
ticks,1499432416872000000,i1709,4795,4800,750,4795,1242,580,11232,GMT+8
ticks,1499432417363000000,i1709,4805,4805,18,4800,304,3122,14354,GMT+8
ticks,1499432417868000000,i1709,4805,4810,521,4800,253,252,14606,GMT+8
ticks,1499432418364000000,i1709,4800,4805,90,4800,374,156,14762,GMT+8
ticks,1499432418865000000,i1709,4800,4805,89,4800,399,12,14774,GMT+8
ticks,1499432419320000000,i1709,4805,4805,149,4800,540,66,14840,GMT+8
ticks,1499432419868000000,i1709,4800,4805,272,4800,642,238,15078,GMT+8
ticks,1499432420364000000,i1709,4805,4805,264,4800,653,82,15160,GMT+8
ticks,1499432420858000000,i1709,4805,4805,291,4800,644,32,15192,GMT+8
ticks,1499432421371000000,i1709,4800,4805,311,4800,686,56,15248,GMT+8
ticks,1499432421863000000,i1709,4800,4805,286,4800,921,46,15294,GMT+8
ticks,1499432422370000000,i1709,4805,4805,117,4800,822,558,15852,GMT+8
ticks,1499432422862000000,i1709,4800,4805,115,4800,804,264,16116,GMT+8
ticks,1499432423341000000,i1709,4800,4805,139,4800,851,14,16130,GMT+8
ticks,1499432423848000000,i1709,4800,4805,136,4800,842,42,16172,GMT+8
ticks,1499432424309000000,i1709,4800,4805,114,4800,844,50,16222,GMT+8
ticks,1499432424846000000,i1709,4800,4805,123,4800,849,24,16246,GMT+8
ticks,1499432425366000000,i1709,4805,4805,108,4800,975,108,16354,GMT+8
ticks,1499432425859000000,i1709,4805,4805,83,4800,964,120,16474,GMT+8
ticks,1499432426364000000,i1709,4805,4810,587,4805,27,204,16678,GMT+8
ticks,1499432426863000000,i1709,4805,4810,577,4805,122,156,16834,GMT+8
ticks,1499432427363000000,i1709,4805,4810,725,4805,116,196,17030,GMT+8
ticks,1499432427863000000,i1709,4805,4805,83,4800,1197,312,17342,GMT+8
ticks,1499432428371000000,i1709,4805,4805,86,4800,1187,56,17398,GMT+8
ticks,1499432428872000000,i1709,4805,4805,169,4800,1191,36,17434,GMT+8
ticks,1499432429366000000,i1709,4805,4810,708,4805,77,358,17792,GMT+8
ticks,1499432429872000000,i1709,4805,4810,707,4805,72,14,17806,GMT+8
ticks,1499432430368000000,i1709,4805,4810,681,4805,52,94,17900,GMT+8
ticks,1499432430870000000,i1709,4810,4810,462,4805,52,170,18070,GMT+8
ticks,1499432431363000000,i1709,4810,4810,454,4805,180,22,18092,GMT+8
ticks,1499432431862000000,i1709,4805,4810,459,4805,250,204,18296,GMT+8
ticks,1499432432373000000,i1709,4805,4810,451,4805,389,62,18358,GMT+8
ticks,1499432432838000000,i1709,4805,4810,451,4805,388,8,18366,GMT+8
ticks,1499432433369000000,i1709,4810,4810,398,4805,251,246,18612,GMT+8
ticks,1499432433865000000,i1709,4810,4810,395,4805,305,16,18628,GMT+8
ticks,1499432434372000000,i1709,4805,4810,453,4805,303,12,18640,GMT+8
ticks,1499432434864000000,i1709,4805,4810,462,4805,291,108,18748,GMT+8
ticks,1499432435364000000,i1709,4805,4810,416,4805,319,110,18858,GMT+8
ticks,1499432435873000000,i1709,4805,4810,420,4805,296,68,18926,GMT+8
ticks,1499432436364000000,i1709,4805,4810,420,4805,360,64,18990,GMT+8
ticks,1499432436859000000,i1709,4805,4810,501,4805,381,22,19012,GMT+8
ticks,1499432437364000000,i1709,4805,4810,500,4805,391,14,19026,GMT+8
ticks,1499432437872000000,i1709,4810,4815,654,4810,15,1014,20040,GMT+8
ticks,1499432438350000000,i1709,4810,4815,653,4810,89,42,20082,GMT+8
ticks,1499432438806000000,i1709,4810,4815,653,4810,103,4,20086,GMT+8
ticks,1499432439369000000,i1709,4810,4815,677,4810,33,210,20296,GMT+8
ticks,1499432439864000000,i1709,4805,4810,102,4805,519,78,20374,GMT+8
ticks,1499432440370000000,i1709,4810,4810,221,4805,511,68,20442,GMT+8
ticks,1499432440863000000,i1709,4810,4810,253,4805,512,40,20482,GMT+8
ticks,1499432441362000000,i1709,4810,4810,237,4805,636,20,20502,GMT+8
