name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499173200000000000,i1709,4680,4680,769,4675,40,3350,3350,GMT+8
ticks,1499173200447000000,i1709,4685,4685,676,4680,501,4578,7928,GMT+8
ticks,1499173200948000000,i1709,4690,4690,199,4685,180,6052,13980,GMT+8
ticks,1499173201447000000,i1709,4695,4695,1499,4690,158,848,14828,GMT+8
ticks,1499173201948000000,i1709,4695,4695,1210,4690,440,1238,16066,GMT+8
ticks,1499173202446000000,i1709,4690,4695,1411,4690,172,724,16790,GMT+8
ticks,1499173202945000000,i1709,4690,4690,99,4685,699,724,17514,GMT+8
ticks,1499173203430000000,i1709,4685,4690,240,4685,373,972,18486,GMT+8
ticks,1499173203942000000,i1709,4685,4690,1111,4685,236,346,18832,GMT+8
ticks,1499173204443000000,i1709,4685,4685,212,4680,519,996,19828,GMT+8
ticks,1499173204932000000,i1709,4680,4685,326,4680,280,908,20736,GMT+8
ticks,1499173205441000000,i1709,4675,4680,2,4675,545,690,21426,GMT+8
ticks,1499173205934000000,i1709,4675,4680,5,4675,555,158,21584,GMT+8
ticks,1499173206444000000,i1709,4680,4680,128,4675,523,100,21684,GMT+8
ticks,1499173206902000000,i1709,4680,4685,549,4680,79,966,22650,GMT+8
ticks,1499173207446000000,i1709,4685,4685,542,4680,109,94,22744,GMT+8
ticks,1499173207940000000,i1709,4680,4685,553,4680,306,146,22890,GMT+8
ticks,1499173208442000000,i1709,4680,4685,735,4680,376,116,23006,GMT+8
ticks,1499173208910000000,i1709,4680,4680,94,4675,502,1022,24028,GMT+8
ticks,1499173209445000000,i1709,4680,4680,156,4675,470,216,24244,GMT+8
ticks,1499173209945000000,i1709,4680,4680,765,4675,461,14,24258,GMT+8
ticks,1499173210397000000,i1709,4680,4680,845,4675,531,78,24336,GMT+8
ticks,1499173210938000000,i1709,4680,4680,1120,4675,534,56,24392,GMT+8
ticks,1499173211439000000,i1709,4680,4680,1098,4675,532,76,24468,GMT+8
ticks,1499173211948000000,i1709,4680,4680,1071,4675,535,60,24528,GMT+8
ticks,1499173212435000000,i1709,4680,4680,1118,4675,508,62,24590,GMT+8
ticks,1499173212906000000,i1709,4675,4680,1123,4675,354,444,25034,GMT+8
ticks,1499173213443000000,i1709,4675,4680,1119,4675,362,62,25096,GMT+8
ticks,1499173213931000000,i1709,4675,4680,664,4675,314,190,25286,GMT+8
ticks,1499173214436000000,i1709,4675,4680,662,4675,465,32,25318,GMT+8
ticks,1499173214915000000,i1709,4675,4680,668,4675,926,54,25372,GMT+8
ticks,1499173215414000000,i1709,4675,4680,607,4675,910,286,25658,GMT+8
ticks,1499173215929000000,i1709,4680,4685,794,4680,626,1338,26996,GMT+8
ticks,1499173216444000000,i1709,4680,4685,798,4680,991,12,27008,GMT+8
ticks,1499173216934000000,i1709,4680,4685,799,4680,1082,48,27056,GMT+8
ticks,1499173217447000000,i1709,4685,4685,778,4680,1076,48,27104,GMT+8
ticks,1499173217921000000,i1709,4685,4690,862,4685,93,2686,29790,GMT+8
ticks,1499173218430000000,i1709,4685,4690,991,4685,369,46,29836,GMT+8
ticks,1499173218929000000,i1709,4685,4690,1043,4685,591,40,29876,GMT+8
ticks,1499173219448000000,i1709,4685,4690,1133,4685,540,126,30002,GMT+8
ticks,1499173219931000000,i1709,4685,4690,1131,4685,536,36,30038,GMT+8
ticks,1499173220399000000,i1709,4685,4690,1159,4685,465,62,30100,GMT+8
ticks,1499173220909000000,i1709,4690,4690,1193,4685,415,44,30144,GMT+8
ticks,1499173221442000000,i1709,4685,4685,41,4680,1189,1818,31962,GMT+8
ticks,1499173221939000000,i1709,4685,4685,134,4680,1165,16,31978,GMT+8
ticks,1499173222445000000,i1709,4680,4685,126,4680,1159,438,32416,GMT+8
ticks,1499173222948000000,i1709,4685,4690,919,4685,143,488,32904,GMT+8
ticks,1499173223444000000,i1709,4685,4690,796,4685,191,344,33248,GMT+8
ticks,1499173223945000000,i1709,4685,4690,794,4685,823,36,33284,GMT+8
ticks,1499173224432000000,i1709,4685,4690,661,4685,1189,294,33578,GMT+8
ticks,1499173224944000000,i1709,4685,4690,1019,4685,1211,26,33604,GMT+8
ticks,1499173225438000000,i1709,4685,4690,1025,4685,1172,86,33690,GMT+8
ticks,1499173225922000000,i1709,4685,4690,1089,4685,1105,156,33846,GMT+8
ticks,1499173226445000000,i1709,4685,4690,1147,4685,1107,48,33894,GMT+8
ticks,1499173226939000000,i1709,4685,4690,1257,4685,1053,176,34070,GMT+8
ticks,1499173227448000000,i1709,4685,4690,954,4685,974,914,34984,GMT+8
ticks,1499173227895000000,i1709,4690,4690,989,4685,931,124,35108,GMT+8
ticks,1499173228433000000,i1709,4685,4690,1060,4685,702,518,35626,GMT+8
ticks,1499173228945000000,i1709,4685,4690,910,4685,593,618,36244,GMT+8
ticks,1499173229434000000,i1709,4685,4690,936,4685,412,404,36648,GMT+8
ticks,1499173229942000000,i1709,4685,4685,508,4680,599,858,37506,GMT+8
ticks,1499173230433000000,i1709,4685,4685,613,4680,603,40,37546,GMT+8
ticks,1499173230928000000,i1709,4685,4685,615,4680,604,92,37638,GMT+8
ticks,1499173231436000000,i1709,4685,4685,520,4680,613,216,37854,GMT+8
ticks,1499173231944000000,i1709,4690,4690,1121,4685,251,1092,38946,GMT+8
ticks,1499173232448000000,i1709,4690,4690,670,4685,257,888,39834,GMT+8
ticks,1499173232914000000,i1709,4685,4690,711,4685,297,62,39896,GMT+8
ticks,1499173233444000000,i1709,4690,4690,739,4685,311,86,39982,GMT+8
ticks,1499173233947000000,i1709,4685,4690,778,4685,332,14,39996,GMT+8
ticks,1499173234445000000,i1709,4685,4690,820,4685,445,124,40120,GMT+8
ticks,1499173234940000000,i1709,4685,4690,808,4685,393,158,40278,GMT+8
ticks,1499173235377000000,i1709,4685,4690,813,4685,370,66,40344,GMT+8
ticks,1499173235906000000,i1709,4685,4690,750,4685,363,152,40496,GMT+8
ticks,1499173236438000000,i1709,4690,4690,572,4685,347,446,40942,GMT+8
ticks,1499173236931000000,i1709,4685,4690,733,4685,339,44,40986,GMT+8
ticks,1499173237449000000,i1709,4690,4690,788,4685,381,22,41008,GMT+8
ticks,1499173237946000000,i1709,4690,4690,897,4685,401,102,41110,GMT+8
ticks,1499173238434000000,i1709,4690,4690,910,4685,406,40,41150,GMT+8
ticks,1499173238928000000,i1709,4685,4690,953,4685,352,110,41260,GMT+8
ticks,1499173239432000000,i1709,4690,4690,1041,4685,346,54,41314,GMT+8
ticks,1499173239942000000,i1709,4685,4690,938,4685,341,250,41564,GMT+8
ticks,1499173240435000000,i1709,4690,4690,927,4685,308,178,41742,GMT+8
ticks,1499173240944000000,i1709,4690,4690,947,4685,295,80,41822,GMT+8
ticks,1499173241445000000,i1709,4685,4690,945,4685,336,46,41868,GMT+8
ticks,1499173241937000000,i1709,4685,4690,949,4685,12,760,42628,GMT+8
ticks,1499173242444000000,i1709,4690,4690,836,4685,51,278,42906,GMT+8
ticks,1499173242940000000,i1709,4685,4690,831,4685,50,88,42994,GMT+8
ticks,1499173243439000000,i1709,4685,4690,1085,4685,57,874,43868,GMT+8
ticks,1499173243911000000,i1709,4685,4685,10,4680,754,452,44320,GMT+8
