name,time,symbol,open,close,high,low,volume,timezone,trading_day
min_ochls,1499259600000000000,i1709,4650,4665,4675,4640,57660,GMT+8,20170706
min_ochls,1499259660000000000,i1709,4670,4675,4675,4655,14962,GMT+8,20170706
min_ochls,1499259720000000000,i1709,4675,4690,4690,4675,18060,GMT+8,20170706
min_ochls,1499259780000000000,i1709,4685,4685,4690,4680,8342,GMT+8,20170706
min_ochls,1499259840000000000,i1709,4685,4685,4690,4680,10858,GMT+8,20170706
min_ochls,1499259900000000000,i1709,4685,4675,4685,4675,6162,GMT+8,20170706
min_ochls,1499259960000000000,i1709,4680,4665,4680,4665,9950,GMT+8,20170706
min_ochls,1499260020000000000,i1709,4665,4680,4680,4665,7572,GMT+8,20170706
min_ochls,1499260080000000000,i1709,4680,4675,4680,4670,8352,GMT+8,20170706
min_ochls,1499260140000000000,i1709,4675,4675,4685,4675,6312,GMT+8,20170706
min_ochls,1499260200000000000,i1709,4680,4685,4685,4675,4400,GMT+8,20170706
min_ochls,1499260260000000000,i1709,4680,4690,4690,4680,6528,GMT+8,20170706
min_ochls,1499260320000000000,i1709,4690,4695,4695,4685,3494,GMT+8,20170706
min_ochls,1499260380000000000,i1709,4690,4690,4695,4685,9064,GMT+8,20170706
min_ochls,1499260440000000000,i1709,4690,4695,4695,4690,3696,GMT+8,20170706
min_ochls,1499260500000000000,i1709,4690,4675,4695,4675,8744,GMT+8,20170706
min_ochls,1499260560000000000,i1709,4675,4690,4690,4675,5258,GMT+8,20170706
min_ochls,1499260620000000000,i1709,4690,4705,4710,4690,20952,GMT+8,20170706
min_ochls,1499260680000000000,i1709,4710,4715,4715,4705,15184,GMT+8,20170706
min_ochls,1499260740000000000,i1709,4710,4705,4715,4705,13146,GMT+8,20170706
min_ochls,1499260800000000000,i1709,4710,4720,4720,4710,13718,GMT+8,20170706
min_ochls,1499260860000000000,i1709,4720,4710,4720,4710,6192,GMT+8,20170706
min_ochls,1499260920000000000,i1709,4710,4710,4715,4705,7084,GMT+8,20170706
min_ochls,1499260980000000000,i1709,4710,4705,4715,4705,2868,GMT+8,20170706
min_ochls,1499261040000000000,i1709,4705,4700,4710,4695,7076,GMT+8,20170706
min_ochls,1499261100000000000,i1709,4700,4705,4705,4700,2442,GMT+8,20170706
min_ochls,1499261160000000000,i1709,4705,4705,4710,4700,5062,GMT+8,20170706
min_ochls,1499261220000000000,i1709,4705,4700,4710,4700,1458,GMT+8,20170706
min_ochls,1499261280000000000,i1709,4700,4700,4705,4700,3098,GMT+8,20170706
min_ochls,1499261340000000000,i1709,4700,4700,4705,4700,1908,GMT+8,20170706
min_ochls,1499261400000000000,i1709,4700,4700,4705,4695,6294,GMT+8,20170706
min_ochls,1499261460000000000,i1709,4700,4695,4700,4685,17832,GMT+8,20170706
min_ochls,1499261520000000000,i1709,4690,4690,4695,4685,5282,GMT+8,20170706
min_ochls,1499261580000000000,i1709,4685,4690,4695,4685,4604,GMT+8,20170706
min_ochls,1499261640000000000,i1709,4690,4700,4700,4690,4308,GMT+8,20170706
min_ochls,1499261700000000000,i1709,4695,4695,4700,4690,4760,GMT+8,20170706
min_ochls,1499261760000000000,i1709,4695,4695,4700,4690,2162,GMT+8,20170706
min_ochls,1499261820000000000,i1709,4695,4695,4700,4690,5066,GMT+8,20170706
min_ochls,1499261880000000000,i1709,4695,4700,4700,4695,1028,GMT+8,20170706
min_ochls,1499261940000000000,i1709,4700,4690,4700,4690,1928,GMT+8,20170706
min_ochls,1499262000000000000,i1709,4695,4695,4695,4690,1136,GMT+8,20170706
min_ochls,1499262060000000000,i1709,4690,4690,4695,4685,1842,GMT+8,20170706
min_ochls,1499262120000000000,i1709,4685,4685,4695,4685,2572,GMT+8,20170706
min_ochls,1499262180000000000,i1709,4690,4675,4690,4670,18774,GMT+8,20170706
min_ochls,1499262240000000000,i1709,4675,4675,4680,4670,7496,GMT+8,20170706
min_ochls,1499262300000000000,i1709,4675,4685,4685,4675,6316,GMT+8,20170706
min_ochls,1499262360000000000,i1709,4680,4680,4685,4680,1324,GMT+8,20170706
min_ochls,1499262420000000000,i1709,4680,4680,4685,4680,690,GMT+8,20170706
min_ochls,1499262480000000000,i1709,4680,4685,4690,4680,3808,GMT+8,20170706
min_ochls,1499262540000000000,i1709,4685,4690,4690,4685,722,GMT+8,20170706
min_ochls,1499262600000000000,i1709,4690,4685,4690,4680,2234,GMT+8,20170706
min_ochls,1499262660000000000,i1709,4685,4690,4690,4680,6154,GMT+8,20170706
min_ochls,1499262720000000000,i1709,4690,4695,4700,4690,5126,GMT+8,20170706
min_ochls,1499262780000000000,i1709,4695,4705,4705,4695,5300,GMT+8,20170706
min_ochls,1499262840000000000,i1709,4705,4700,4705,4695,5906,GMT+8,20170706
min_ochls,1499262900000000000,i1709,4695,4695,4700,4695,2784,GMT+8,20170706
min_ochls,1499262960000000000,i1709,4695,4690,4695,4690,482,GMT+8,20170706
min_ochls,1499263020000000000,i1709,4690,4690,4695,4690,864,GMT+8,20170706
min_ochls,1499263080000000000,i1709,4690,4690,4695,4685,1798,GMT+8,20170706
min_ochls,1499263140000000000,i1709,4685,4685,4690,4680,1920,GMT+8,20170706
min_ochls,1499263200000000000,i1709,4680,4680,4685,4680,4336,GMT+8,20170706
min_ochls,1499263260000000000,i1709,4685,4675,4685,4670,8150,GMT+8,20170706
min_ochls,1499263320000000000,i1709,4675,4685,4685,4675,3024,GMT+8,20170706
min_ochls,1499263380000000000,i1709,4685,4675,4685,4675,5718,GMT+8,20170706
min_ochls,1499263440000000000,i1709,4680,4680,4680,4670,7878,GMT+8,20170706
min_ochls,1499263500000000000,i1709,4675,4665,4680,4665,4970,GMT+8,20170706
min_ochls,1499263560000000000,i1709,4665,4675,4680,4665,4680,GMT+8,20170706
min_ochls,1499263620000000000,i1709,4675,4670,4675,4660,6992,GMT+8,20170706
min_ochls,1499263680000000000,i1709,4670,4670,4675,4665,4832,GMT+8,20170706
min_ochls,1499263740000000000,i1709,4665,4655,4670,4655,18442,GMT+8,20170706
min_ochls,1499263800000000000,i1709,4650,4640,4660,4635,38056,GMT+8,20170706
min_ochls,1499263860000000000,i1709,4640,4655,4655,4640,10744,GMT+8,20170706
min_ochls,1499263920000000000,i1709,4655,4645,4655,4645,5640,GMT+8,20170706
min_ochls,1499263980000000000,i1709,4645,4665,4670,4645,14210,GMT+8,20170706
min_ochls,1499264040000000000,i1709,4665,4670,4670,4660,9586,GMT+8,20170706
min_ochls,1499264100000000000,i1709,4670,4670,4670,4665,3664,GMT+8,20170706
min_ochls,1499264160000000000,i1709,4670,4670,4670,4665,5134,GMT+8,20170706
min_ochls,1499264220000000000,i1709,4665,4665,4670,4665,1350,GMT+8,20170706
min_ochls,1499264280000000000,i1709,4670,4670,4670,4665,3178,GMT+8,20170706
min_ochls,1499264340000000000,i1709,4670,4670,4680,4670,9118,GMT+8,20170706
min_ochls,1499264400000000000,i1709,4670,4675,4675,4670,8326,GMT+8,20170706
min_ochls,1499264460000000000,i1709,4670,4675,4675,4670,482,GMT+8,20170706
min_ochls,1499264520000000000,i1709,4670,4665,4670,4665,3392,GMT+8,20170706
