name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499691600000000000,i1709,4790,4795,257,4790,169,1174,1174,GMT+8
ticks,1499691600383000000,i1709,4800,4800,611,4790,324,1230,2404,GMT+8
ticks,1499691600890000000,i1709,4795,4800,642,4790,420,490,2894,GMT+8
ticks,1499691601400000000,i1709,4795,4800,648,4795,63,92,2986,GMT+8
ticks,1499691601900000000,i1709,4800,4800,532,4795,50,246,3232,GMT+8
ticks,1499691602388000000,i1709,4800,4800,526,4795,34,122,3354,GMT+8
ticks,1499691602897000000,i1709,4795,4800,549,4795,39,110,3464,GMT+8
ticks,1499691603365000000,i1709,4795,4800,549,4795,26,30,3494,GMT+8
ticks,1499691603872000000,i1709,4795,4800,546,4795,21,12,3506,GMT+8
ticks,1499691604400000000,i1709,4800,4800,434,4795,15,372,3878,GMT+8
ticks,1499691604888000000,i1709,4790,4795,4,4790,702,120,3998,GMT+8
ticks,1499691605397000000,i1709,4790,4795,167,4790,871,96,4094,GMT+8
ticks,1499691605886000000,i1709,4795,4795,396,4790,873,46,4140,GMT+8
ticks,1499691606384000000,i1709,4795,4795,520,4790,778,232,4372,GMT+8
ticks,1499691606894000000,i1709,4795,4795,512,4790,861,24,4396,GMT+8
ticks,1499691607381000000,i1709,4790,4795,512,4790,725,138,4534,GMT+8
ticks,1499691607835000000,i1709,4795,4795,518,4790,743,2,4536,GMT+8
ticks,1499691608398000000,i1709,4795,4795,519,4790,516,24,4560,GMT+8
ticks,1499691608883000000,i1709,4790,4795,568,4790,555,238,4798,GMT+8
ticks,1499691609388000000,i1709,4790,4795,574,4790,565,56,4854,GMT+8
ticks,1499691609882000000,i1709,4790,4795,567,4790,467,210,5064,GMT+8
ticks,1499691610398000000,i1709,4795,4795,758,4790,458,10,5074,GMT+8
ticks,1499691610885000000,i1709,4790,4795,754,4790,540,56,5130,GMT+8
ticks,1499691611379000000,i1709,4790,4795,677,4790,474,112,5242,GMT+8
ticks,1499691611887000000,i1709,4790,4795,678,4790,507,2,5244,GMT+8
ticks,1499691612366000000,i1709,4790,4795,702,4790,472,38,5282,GMT+8
ticks,1499691612886000000,i1709,4790,4795,696,4790,353,46,5328,GMT+8
ticks,1499691613343000000,i1709,4790,4795,696,4790,369,6,5334,GMT+8
ticks,1499691613860000000,i1709,4790,4795,691,4790,363,22,5356,GMT+8
ticks,1499691614377000000,i1709,4790,4795,687,4790,461,20,5376,GMT+8
ticks,1499691614840000000,i1709,4795,4795,678,4790,377,186,5562,GMT+8
ticks,1499691615349000000,i1709,4795,4795,690,4790,412,4,5566,GMT+8
ticks,1499691615895000000,i1709,4790,4795,907,4790,411,14,5580,GMT+8
ticks,1499691616377000000,i1709,4790,4795,911,4790,398,36,5616,GMT+8
ticks,1499691616890000000,i1709,4795,4795,904,4790,446,26,5642,GMT+8
ticks,1499691617317000000,i1709,4790,4795,911,4790,504,22,5664,GMT+8
ticks,1499691617872000000,i1709,4790,4795,916,4790,490,56,5720,GMT+8
ticks,1499691618393000000,i1709,4790,4795,912,4790,479,32,5752,GMT+8
ticks,1499691618874000000,i1709,4790,4795,827,4790,477,206,5958,GMT+8
ticks,1499691619366000000,i1709,4790,4795,818,4790,465,34,5992,GMT+8
ticks,1499691619894000000,i1709,4795,4795,845,4790,463,14,6006,GMT+8
ticks,1499691620374000000,i1709,4790,4795,845,4790,540,2,6008,GMT+8
ticks,1499691620830000000,i1709,4790,4795,827,4790,539,50,6058,GMT+8
ticks,1499691621384000000,i1709,4795,4795,824,4790,710,10,6068,GMT+8
ticks,1499691621874000000,i1709,4790,4795,824,4790,725,4,6072,GMT+8
ticks,1499691622394000000,i1709,4795,4795,820,4790,723,16,6088,GMT+8
ticks,1499691622847000000,i1709,4795,4795,820,4790,723,2,6090,GMT+8
ticks,1499691623372000000,i1709,4790,4795,817,4790,722,20,6110,GMT+8
ticks,1499691623785000000,i1709,4795,4795,815,4790,724,2,6112,GMT+8
ticks,1499691624389000000,i1709,4790,4795,818,4790,717,18,6130,GMT+8
ticks,1499691624870000000,i1709,4790,4795,811,4790,528,408,6538,GMT+8
ticks,1499691625392000000,i1709,4790,4795,618,4790,480,114,6652,GMT+8
ticks,1499691625885000000,i1709,4790,4795,618,4790,469,24,6676,GMT+8
ticks,1499691626382000000,i1709,4790,4795,607,4790,504,34,6710,GMT+8
ticks,1499691626885000000,i1709,4795,4795,602,4790,531,10,6720,GMT+8
ticks,1499691627360000000,i1709,4790,4795,501,4790,566,12,6732,GMT+8
ticks,1499691627869000000,i1709,4790,4795,488,4790,572,4,6736,GMT+8
ticks,1499691628378000000,i1709,4795,4795,246,4790,603,456,7192,GMT+8
ticks,1499691628900000000,i1709,4795,4800,1248,4795,647,514,7706,GMT+8
ticks,1499691629369000000,i1709,4800,4800,1235,4795,709,36,7742,GMT+8
ticks,1499691629828000000,i1709,4795,4800,1237,4795,776,2,7744,GMT+8
ticks,1499691630332000000,i1709,4795,4800,1236,4795,779,8,7752,GMT+8
ticks,1499691630865000000,i1709,4795,4800,1236,4795,771,14,7766,GMT+8
ticks,1499691631321000000,i1709,4800,4800,1229,4795,771,16,7782,GMT+8
ticks,1499691631796000000,i1709,4795,4800,1224,4795,778,62,7844,GMT+8
ticks,1499691632330000000,i1709,4795,4800,1224,4795,771,14,7858,GMT+8
ticks,1499691632827000000,i1709,4800,4800,1220,4795,771,10,7868,GMT+8
ticks,1499691633378000000,i1709,4795,4800,1220,4795,769,4,7872,GMT+8
ticks,1499691633883000000,i1709,4800,4800,1214,4795,774,12,7884,GMT+8
ticks,1499691634298000000,i1709,4800,4800,1214,4795,775,2,7886,GMT+8
ticks,1499691634889000000,i1709,4800,4800,1218,4795,779,14,7900,GMT+8
ticks,1499691635167000000,i1709,4800,4800,1221,4795,780,0,7900,GMT+8
ticks,1499691635895000000,i1709,4800,4800,1214,4795,780,20,7920,GMT+8
ticks,1499691636397000000,i1709,4795,4800,1210,4795,656,252,8172,GMT+8
ticks,1499691636800000000,i1709,4800,4800,1190,4795,628,60,8232,GMT+8
ticks,1499691637396000000,i1709,4800,4800,1199,4795,627,6,8238,GMT+8
ticks,1499691637884000000,i1709,4800,4800,1187,4795,631,26,8264,GMT+8
ticks,1499691638367000000,i1709,4795,4800,1183,4795,629,18,8282,GMT+8
ticks,1499691638898000000,i1709,4800,4800,1110,4795,626,182,8464,GMT+8
ticks,1499691639332000000,i1709,4800,4800,1059,4795,627,104,8568,GMT+8
ticks,1499691639887000000,i1709,4800,4800,1006,4795,653,108,8676,GMT+8
ticks,1499691640402000000,i1709,4800,4800,998,4795,654,18,8694,GMT+8
ticks,1499691640802000000,i1709,4800,4800,997,4795,658,2,8696,GMT+8
ticks,1499691641364000000,i1709,4800,4800,925,4795,642,202,8898,GMT+8
ticks,1499691641879000000,i1709,4800,4800,900,4795,639,54,8952,GMT+8
ticks,1499691642386000000,i1709,4800,4800,889,4795,654,28,8980,GMT+8
ticks,1499691642882000000,i1709,4795,4800,888,4795,650,8,8988,GMT+8
ticks,1499691643381000000,i1709,4800,4800,874,4795,683,12,9000,GMT+8
ticks,1499691643894000000,i1709,4800,4800,869,4795,682,20,9020,GMT+8
ticks,1499691644301000000,i1709,4800,4800,867,4795,702,6,9026,GMT+8
ticks,1499691644845000000,i1709,4800,4800,859,4795,710,24,9050,GMT+8
ticks,1499691645392000000,i1709,4795,4800,861,4795,690,44,9094,GMT+8
ticks,1499691645825000000,i1709,4800,4800,807,4795,689,120,9214,GMT+8
ticks,1499691646391000000,i1709,4800,4800,808,4795,689,12,9226,GMT+8
ticks,1499691646840000000,i1709,4800,4800,766,4795,689,94,9320,GMT+8
ticks,1499691647397000000,i1709,4800,4800,729,4795,684,84,9404,GMT+8
ticks,1499691647793000000,i1709,4795,4800,716,4795,701,28,9432,GMT+8
ticks,1499691648291000000,i1709,4800,4800,709,4795,710,14,9446,GMT+8
ticks,1499691648835000000,i1709,4800,4800,643,4795,1446,102,9548,GMT+8
ticks,1499691649329000000,i1709,4800,4800,601,4795,1448,20,9568,GMT+8
ticks,1499691649894000000,i1709,4800,4800,560,4795,1465,264,9832,GMT+8
ticks,1499691650391000000,i1709,4800,4800,550,4795,1479,24,9856,GMT+8
ticks,1499691650886000000,i1709,4800,4800,509,4795,1480,106,9962,GMT+8
ticks,1499691651358000000,i1709,4800,4800,459,4795,1479,104,10066,GMT+8
ticks,1499691651895000000,i1709,4800,4800,445,4795,1475,82,10148,GMT+8
ticks,1499691652339000000,i1709,4800,4800,416,4795,1475,28,10176,GMT+8
ticks,1499691652896000000,i1709,4800,4800,408,4795,1473,18,10194,GMT+8
ticks,1499691653387000000,i1709,4800,4800,328,4795,1477,168,10362,GMT+8
ticks,1499691653892000000,i1709,4800,4800,338,4795,1268,434,10796,GMT+8
ticks,1499691654362000000,i1709,4800,4800,320,4795,1267,116,10912,GMT+8
ticks,1499691654869000000,i1709,4800,4800,323,4795,1265,26,10938,GMT+8
ticks,1499691655388000000,i1709,4800,4805,1086,4800,7,838,11776,GMT+8
ticks,1499691655882000000,i1709,4800,4805,1271,4800,43,8,11784,GMT+8
ticks,1499691656398000000,i1709,4805,4805,1203,4800,212,24,11808,GMT+8
