name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499778000000000000,i1709,4890,4890,65,4885,372,2076,2076,GMT+8
ticks,1499778000382000000,i1709,4890,4890,23,4885,279,2980,5056,GMT+8
ticks,1499778000872000000,i1709,4885,4890,267,4885,124,650,5706,GMT+8
ticks,1499778001380000000,i1709,4885,4890,426,4885,43,350,6056,GMT+8
ticks,1499778001867000000,i1709,4890,4895,294,4890,461,2012,8068,GMT+8
ticks,1499778002374000000,i1709,4890,4895,473,4890,257,432,8500,GMT+8
ticks,1499778002874000000,i1709,4890,4895,505,4890,335,268,8768,GMT+8
ticks,1499778003379000000,i1709,4890,4895,492,4890,302,104,8872,GMT+8
ticks,1499778003876000000,i1709,4890,4895,347,4890,117,710,9582,GMT+8
ticks,1499778004379000000,i1709,4890,4890,103,4885,949,268,9850,GMT+8
ticks,1499778004875000000,i1709,4885,4890,376,4885,997,180,10030,GMT+8
ticks,1499778005375000000,i1709,4885,4890,373,4885,998,196,10226,GMT+8
ticks,1499778005873000000,i1709,4890,4890,328,4885,979,218,10444,GMT+8
ticks,1499778006378000000,i1709,4885,4890,282,4885,946,152,10596,GMT+8
ticks,1499778006855000000,i1709,4890,4890,246,4885,894,228,10824,GMT+8
ticks,1499778007339000000,i1709,4885,4890,254,4885,885,22,10846,GMT+8
ticks,1499778007866000000,i1709,4890,4890,249,4885,885,10,10856,GMT+8
ticks,1499778008367000000,i1709,4885,4890,243,4885,776,250,11106,GMT+8
ticks,1499778008881000000,i1709,4885,4890,249,4885,769,70,11176,GMT+8
ticks,1499778009337000000,i1709,4885,4890,386,4885,614,358,11534,GMT+8
ticks,1499778009870000000,i1709,4890,4890,262,4885,459,288,11822,GMT+8
ticks,1499778010366000000,i1709,4890,4890,263,4885,267,572,12394,GMT+8
ticks,1499778010875000000,i1709,4885,4890,300,4885,345,36,12430,GMT+8
ticks,1499778011381000000,i1709,4890,4890,551,4885,466,60,12490,GMT+8
ticks,1499778011869000000,i1709,4885,4890,673,4885,477,26,12516,GMT+8
ticks,1499778012304000000,i1709,4885,4890,657,4885,476,64,12580,GMT+8
ticks,1499778012877000000,i1709,4885,4890,513,4885,491,56,12636,GMT+8
ticks,1499778013379000000,i1709,4885,4890,425,4885,575,36,12672,GMT+8
ticks,1499778013821000000,i1709,4890,4890,395,4885,632,86,12758,GMT+8
ticks,1499778014377000000,i1709,4890,4895,937,4890,262,894,13652,GMT+8
ticks,1499778014876000000,i1709,4890,4895,1035,4890,465,22,13674,GMT+8
ticks,1499778015376000000,i1709,4890,4895,1018,4890,680,78,13752,GMT+8
ticks,1499778015851000000,i1709,4890,4895,1018,4890,782,50,13802,GMT+8
ticks,1499778016352000000,i1709,4890,4895,1018,4890,768,28,13830,GMT+8
ticks,1499778016868000000,i1709,4890,4895,985,4890,758,262,14092,GMT+8
ticks,1499778017302000000,i1709,4895,4895,980,4890,972,14,14106,GMT+8
ticks,1499778017874000000,i1709,4890,4895,907,4890,967,160,14266,GMT+8
ticks,1499778018371000000,i1709,4890,4895,836,4890,689,610,14876,GMT+8
ticks,1499778018815000000,i1709,4890,4895,813,4890,702,32,14908,GMT+8
ticks,1499778019378000000,i1709,4895,4895,793,4890,699,14,14922,GMT+8
ticks,1499778019833000000,i1709,4895,4895,941,4890,711,12,14934,GMT+8
ticks,1499778020347000000,i1709,4895,4895,951,4890,732,12,14946,GMT+8
ticks,1499778020874000000,i1709,4890,4895,1018,4890,628,208,15154,GMT+8
ticks,1499778021365000000,i1709,4890,4895,1021,4890,621,22,15176,GMT+8
ticks,1499778021882000000,i1709,4890,4895,1030,4890,607,30,15206,GMT+8
ticks,1499778022353000000,i1709,4895,4895,1015,4890,642,86,15292,GMT+8
ticks,1499778022880000000,i1709,4890,4895,997,4890,641,42,15334,GMT+8
ticks,1499778023359000000,i1709,4890,4895,1001,4890,758,22,15356,GMT+8
ticks,1499778023877000000,i1709,4895,4895,1000,4890,764,4,15360,GMT+8
ticks,1499778024378000000,i1709,4890,4895,1008,4890,769,36,15396,GMT+8
ticks,1499778024881000000,i1709,4895,4895,975,4890,750,108,15504,GMT+8
ticks,1499778025325000000,i1709,4890,4895,965,4890,732,56,15560,GMT+8
ticks,1499778025871000000,i1709,4890,4895,965,4890,726,14,15574,GMT+8
