name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499346000000000000,i1709,4695,4695,404,4690,251,4708,4708,GMT+8
ticks,1499346000461000000,i1709,4705,4710,762,4705,288,4040,8748,GMT+8
ticks,1499346000958000000,i1709,4710,4710,183,4705,273,1696,10444,GMT+8
ticks,1499346001461000000,i1709,4710,4715,440,4705,244,298,10742,GMT+8
ticks,1499346001951000000,i1709,4710,4710,4,4705,267,84,10826,GMT+8
ticks,1499346002459000000,i1709,4710,4710,249,4705,327,298,11124,GMT+8
ticks,1499346002960000000,i1709,4710,4715,405,4710,282,1128,12252,GMT+8
ticks,1499346003450000000,i1709,4710,4715,447,4710,333,254,12506,GMT+8
ticks,1499346003959000000,i1709,4710,4710,243,4705,198,1010,13516,GMT+8
ticks,1499346004457000000,i1709,4710,4710,247,4705,277,52,13568,GMT+8
ticks,1499346004957000000,i1709,4705,4710,522,4705,293,138,13706,GMT+8
ticks,1499346005457000000,i1709,4705,4710,401,4705,353,336,14042,GMT+8
ticks,1499346005952000000,i1709,4710,4710,359,4705,260,386,14428,GMT+8
ticks,1499346006456000000,i1709,4705,4710,333,4705,220,144,14572,GMT+8
ticks,1499346006933000000,i1709,4705,4710,317,4705,502,42,14614,GMT+8
ticks,1499346007456000000,i1709,4710,4710,267,4705,570,138,14752,GMT+8
ticks,1499346007960000000,i1709,4710,4710,247,4705,596,62,14814,GMT+8
ticks,1499346008440000000,i1709,4710,4715,400,4710,67,606,15420,GMT+8
ticks,1499346008957000000,i1709,4710,4710,67,4705,698,192,15612,GMT+8
ticks,1499346009439000000,i1709,4710,4715,463,4710,269,234,15846,GMT+8
ticks,1499346009960000000,i1709,4710,4715,464,4710,204,220,16066,GMT+8
ticks,1499346010452000000,i1709,4710,4715,482,4710,216,44,16110,GMT+8
ticks,1499346010935000000,i1709,4710,4710,312,4705,581,576,16686,GMT+8
ticks,1499346011448000000,i1709,4705,4705,104,4700,410,1180,17866,GMT+8
ticks,1499346011958000000,i1709,4705,4705,171,4700,412,22,17888,GMT+8
ticks,1499346012443000000,i1709,4705,4705,327,4700,438,8,17896,GMT+8
ticks,1499346012930000000,i1709,4705,4705,306,4700,437,42,17938,GMT+8
ticks,1499346013461000000,i1709,4700,4705,316,4700,412,94,18032,GMT+8
ticks,1499346013957000000,i1709,4705,4705,338,4700,633,68,18100,GMT+8
ticks,1499346014451000000,i1709,4700,4705,310,4700,733,54,18154,GMT+8
ticks,1499346014952000000,i1709,4705,4705,250,4700,730,124,18278,GMT+8
ticks,1499346015456000000,i1709,4705,4705,11,4700,334,1504,19782,GMT+8
ticks,1499346015958000000,i1709,4705,4705,118,4700,373,186,19968,GMT+8
ticks,1499346016459000000,i1709,4705,4705,87,4700,453,106,20074,GMT+8
ticks,1499346016961000000,i1709,4705,4705,186,4700,563,374,20448,GMT+8
ticks,1499346017425000000,i1709,4700,4705,148,4700,677,264,20712,GMT+8
ticks,1499346017903000000,i1709,4705,4705,192,4700,680,54,20766,GMT+8
ticks,1499346018460000000,i1709,4700,4705,142,4700,658,104,20870,GMT+8
ticks,1499346018955000000,i1709,4705,4710,749,4705,102,348,21218,GMT+8
ticks,1499346019456000000,i1709,4705,4710,746,4705,202,8,21226,GMT+8
ticks,1499346019920000000,i1709,4705,4710,693,4705,283,208,21434,GMT+8
ticks,1499346020453000000,i1709,4705,4710,700,4705,323,52,21486,GMT+8
ticks,1499346020941000000,i1709,4705,4710,702,4705,296,86,21572,GMT+8
ticks,1499346021432000000,i1709,4710,4710,705,4705,306,4,21576,GMT+8
ticks,1499346021962000000,i1709,4705,4710,707,4705,270,8,21584,GMT+8
ticks,1499346022462000000,i1709,4710,4710,719,4705,249,28,21612,GMT+8
ticks,1499346022951000000,i1709,4705,4710,713,4705,353,40,21652,GMT+8
ticks,1499346023453000000,i1709,4705,4710,680,4705,421,68,21720,GMT+8
ticks,1499346023958000000,i1709,4710,4710,684,4705,418,38,21758,GMT+8
ticks,1499346024439000000,i1709,4705,4710,786,4705,418,22,21780,GMT+8
ticks,1499346024955000000,i1709,4705,4710,941,4705,413,34,21814,GMT+8
ticks,1499346025440000000,i1709,4710,4710,936,4705,417,18,21832,GMT+8
ticks,1499346025939000000,i1709,4705,4710,943,4705,407,46,21878,GMT+8
ticks,1499346026445000000,i1709,4705,4710,944,4705,432,16,21894,GMT+8
ticks,1499346026934000000,i1709,4705,4710,936,4705,331,246,22140,GMT+8
ticks,1499346027421000000,i1709,4705,4705,224,4700,1014,452,22592,GMT+8
ticks,1499346027954000000,i1709,4705,4705,290,4700,988,6,22598,GMT+8
ticks,1499346028444000000,i1709,4705,4705,386,4700,685,12,22610,GMT+8
ticks,1499346028943000000,i1709,4705,4705,400,4700,594,30,22640,GMT+8
ticks,1499346029458000000,i1709,4705,4705,422,4700,580,34,22674,GMT+8
ticks,1499346029915000000,i1709,4700,4705,425,4700,577,8,22682,GMT+8
ticks,1499346030435000000,i1709,4705,4705,407,4700,577,38,22720,GMT+8
ticks,1499346030955000000,i1709,4705,4705,409,4700,580,16,22736,GMT+8
ticks,1499346031456000000,i1709,4705,4705,410,4700,592,14,22750,GMT+8
ticks,1499346031947000000,i1709,4705,4705,406,4700,616,12,22762,GMT+8
ticks,1499346032424000000,i1709,4705,4705,414,4700,636,28,22790,GMT+8
ticks,1499346032960000000,i1709,4705,4705,425,4700,637,14,22804,GMT+8
ticks,1499346033450000000,i1709,4705,4705,422,4700,640,30,22834,GMT+8
ticks,1499346033949000000,i1709,4700,4705,499,4700,641,14,22848,GMT+8
ticks,1499346034430000000,i1709,4705,4705,493,4700,629,44,22892,GMT+8
ticks,1499346034928000000,i1709,4705,4705,489,4700,630,30,22922,GMT+8
ticks,1499346035451000000,i1709,4705,4705,519,4700,484,216,23138,GMT+8
ticks,1499346035904000000,i1709,4705,4705,504,4700,489,32,23170,GMT+8
ticks,1499346036455000000,i1709,4700,4705,501,4700,481,26,23196,GMT+8
ticks,1499346036949000000,i1709,4705,4705,493,4700,371,50,23246,GMT+8
ticks,1499346037458000000,i1709,4705,4705,496,4700,353,6,23252,GMT+8
ticks,1499346037935000000,i1709,4700,4705,816,4700,242,228,23480,GMT+8
ticks,1499346038426000000,i1709,4700,4705,901,4700,222,62,23542,GMT+8
ticks,1499346038927000000,i1709,4705,4705,910,4700,223,12,23554,GMT+8
ticks,1499346039417000000,i1709,4700,4705,899,4700,229,26,23580,GMT+8
ticks,1499346039949000000,i1709,4700,4705,900,4700,231,6,23586,GMT+8
ticks,1499346040449000000,i1709,4700,4705,488,4700,264,800,24386,GMT+8
