name,time,symbol,last,ask_price,ask_size,bid_price,bid_size,volume,total_volume,timezone
ticks,1499259600000000000,i1709,4650,4655,254,4650,332,8356,8356,GMT+8
ticks,1499259600406000000,i1709,4655,4655,257,4650,114,3180,11536,GMT+8
ticks,1499259600906000000,i1709,4650,4650,168,4645,153,9562,21098,GMT+8
ticks,1499259601406000000,i1709,4640,4645,5,4640,2,2500,23598,GMT+8
ticks,1499259601900000000,i1709,4650,4660,287,4650,579,2464,26062,GMT+8
ticks,1499259602397000000,i1709,4650,4655,60,4650,371,888,26950,GMT+8
ticks,1499259602893000000,i1709,4650,4655,91,4650,468,140,27090,GMT+8
ticks,1499259603405000000,i1709,4655,4655,230,4650,395,218,27308,GMT+8
ticks,1499259603868000000,i1709,4660,4660,285,4655,51,564,27872,GMT+8
ticks,1499259604406000000,i1709,4660,4660,136,4655,194,414,28286,GMT+8
ticks,1499259604904000000,i1709,4660,4660,27,4655,462,388,28674,GMT+8
ticks,1499259605398000000,i1709,4655,4665,691,4655,287,840,29514,GMT+8
ticks,1499259605887000000,i1709,4655,4660,1,4655,338,320,29834,GMT+8
ticks,1499259606405000000,i1709,4660,4660,96,4655,416,214,30048,GMT+8
ticks,1499259606902000000,i1709,4660,4665,707,4660,2,658,30706,GMT+8
ticks,1499259607399000000,i1709,4655,4655,318,4650,644,1330,32036,GMT+8
ticks,1499259607850000000,i1709,4655,4655,392,4650,649,156,32192,GMT+8
ticks,1499259608402000000,i1709,4660,4665,809,4660,5,1040,33232,GMT+8
ticks,1499259608906000000,i1709,4660,4660,150,4655,66,456,33688,GMT+8
ticks,1499259609405000000,i1709,4665,4665,37,4655,106,2278,35966,GMT+8
ticks,1499259609880000000,i1709,4665,4665,67,4660,68,72,36038,GMT+8
ticks,1499259610393000000,i1709,4660,4665,117,4660,163,106,36144,GMT+8
ticks,1499259610906000000,i1709,4665,4670,476,4665,76,578,36722,GMT+8
ticks,1499259611403000000,i1709,4665,4665,88,4660,507,302,37024,GMT+8
ticks,1499259611881000000,i1709,4665,4670,431,4665,262,268,37292,GMT+8
ticks,1499259612397000000,i1709,4665,4670,419,4665,382,100,37392,GMT+8
ticks,1499259612894000000,i1709,4665,4670,529,4665,462,146,37538,GMT+8
ticks,1499259613404000000,i1709,4670,4670,543,4665,547,70,37608,GMT+8
ticks,1499259613895000000,i1709,4670,4670,510,4665,568,82,37690,GMT+8
ticks,1499259614391000000,i1709,4670,4670,417,4665,394,586,38276,GMT+8
ticks,1499259614886000000,i1709,4670,4670,343,4665,376,240,38516,GMT+8
ticks,1499259615403000000,i1709,4670,4670,330,4665,345,176,38692,GMT+8
ticks,1499259615904000000,i1709,4670,4670,368,4665,334,58,38750,GMT+8
ticks,1499259616400000000,i1709,4670,4670,262,4665,409,220,38970,GMT+8
ticks,1499259616905000000,i1709,4665,4670,313,4665,385,98,39068,GMT+8
ticks,1499259617406000000,i1709,4670,4670,281,4665,410,34,39102,GMT+8
ticks,1499259617906000000,i1709,4670,4670,8,4665,413,616,39718,GMT+8
ticks,1499259618402000000,i1709,4670,4675,703,4670,51,152,39870,GMT+8
ticks,1499259618904000000,i1709,4670,4675,717,4670,76,102,39972,GMT+8
ticks,1499259619397000000,i1709,4670,4675,825,4670,123,64,40036,GMT+8
ticks,1499259619898000000,i1709,4670,4675,809,4670,149,84,40120,GMT+8
ticks,1499259620399000000,i1709,4670,4670,762,4665,340,612,40732,GMT+8
ticks,1499259620902000000,i1709,4670,4670,808,4665,458,84,40816,GMT+8
ticks,1499259621393000000,i1709,4670,4670,1096,4665,459,30,40846,GMT+8
